feature,importance,mean_abs_shap,catboost_rank,shap_rank
BUREAU_HAS_HISTORY,0.010777241473876296,0.0004395503818521883,180,176
FLAG_DOCUMENT_14,0.02592630312189837,0.00042864025938802277,170,177
FLAG_DOCUMENT_5,0.03393275203133003,0.00040149930857935053,165,178
INST_LATE_30_COUNT,0.016745794156332906,0.0003415587034782366,175,179
FLAG_CONT_MOBILE,0.013363973808695943,0.00020023925621183886,177,180
FLAG_DOCUMENT_9,0.005902671452148028,0.00010569304825034714,181,181
FLAG_DOCUMENT_17,0.002633619981246855,6.420801185316624e-05,182,182
BUREAU_CREDIT_DAY_OVERDUE_MEAN,0.0012281916496280948,4.634331868807298e-05,183,183
FLAG_DOCUMENT_10,2.6656191026563413e-06,1.584651131995069e-07,184,184
LIVE_REGION_NOT_WORK_REGION,0.0,0.0,185,185
FLAG_MOBIL,0.0,0.0,185,185
FLAG_DOCUMENT_2,0.0,0.0,185,185
FLAG_DOCUMENT_12,0.0,0.0,185,185
FLAG_DOCUMENT_19,0.0,0.0,185,185
FLAG_DOCUMENT_20,0.0,0.0,185,185
FLAG_DOCUMENT_7,0.0,0.0,185,185
FLAG_DOCUMENT_21,0.0,0.0,185,185
FLAG_DOCUMENT_4,0.0,0.0,185,185
INST_HAS_HISTORY,0.0,0.0,185,185
DAYS_EMPLOYED_ANOMALY,0.0,0.0,185,185
