threshold,accuracy,precision,recall,f1,TN,FP,FN,TP
0.4099999999999998,0.6673007820756711,0.1641454640024273,0.7627391742195367,0.27015266086460266,37254,19284,1178,3787
0.4199999999999998,0.6789750093491375,0.16790256617680105,0.752467270896274,0.27454438565549677,38023,18515,1229,3736
0.4299999999999998,0.6901451961692926,0.17148452070123088,0.740785498489426,0.2784992238670352,38768,17770,1287,3678
0.43999999999999984,0.7015592735313725,0.17575552111584658,0.7309164149043303,0.2833717252957483,39519,17019,1336,3629
0.44999999999999984,0.7119002325089833,0.17925761995775072,0.7178247734138973,0.2868756791564374,40220,16318,1401,3564
0.45999999999999985,0.7218347072500528,0.18266868760779806,0.7039274924471299,0.29006556560710434,40900,15638,1470,3495
0.46999999999999986,0.7323382599222802,0.18698611489245848,0.6916414904330312,0.2943849121303043,41607,14931,1531,3434
0.47999999999999976,0.7412971724956506,0.19093065281228824,0.6809667673716012,0.29824019759184933,42211,14327,1584,3381
0.48999999999999977,0.7501747882217128,0.1944770857814336,0.6666666666666666,0.3011143961792131,42828,13710,1655,3310
0.4999999999999998,0.759377591337008,0.19830654067983802,0.6509566968781471,0.30400225744250575,43472,13066,1733,3232
0.5099999999999998,0.7681901695852235,0.2025988989886058,0.6374622356495468,0.3074755913926264,44081,12457,1800,3165
0.5199999999999998,0.7767751166609759,0.2070855614973262,0.6239677744209466,0.31096612296110415,44676,11862,1867,3098
0.5299999999999998,0.7844983171552607,0.21096310760861986,0.6092648539778449,0.3134065478657273,45224,11314,1940,3025
0.5399999999999998,0.7924654081914704,0.21538573826727975,0.5943605236656596,0.31618986392371157,45788,10750,2014,2951
0.5499999999999998,0.7998146431881371,0.2199435846611268,0.581067472306143,0.31910186926224976,46306,10232,2080,2885
0.5599999999999997,0.8068712095344942,0.22420809064070854,0.5659617321248741,0.3211795633786719,46815,9723,2155,2810
0.5699999999999997,0.8147732630928572,0.23034320718301585,0.552870090634441,0.3251984362042412,47366,9172,2220,2745
0.5799999999999997,0.8210818984439784,0.2353869073700815,0.5409869083585096,0.3280410356619443,47813,8725,2279,2686
0.5899999999999997,0.8273417556867144,0.23968692449355433,0.524269889224572,0.32897314375987363,48281,8257,2362,2603
0.5999999999999998,0.8336341316683739,0.2444940331813331,0.5075528700906344,0.33001571503404925,48751,7787,2445,2520
0.6099999999999998,0.8398289514332634,0.2502555714577796,0.4930513595166163,0.3319997287583915,49204,7334,2517,2448
0.6199999999999998,0.845129505877762,0.2545748116254037,0.47633434038267874,0.331813398807436,49613,6925,2600,2365
0.6299999999999997,0.8503162447360292,0.2600430010184452,0.46283987915407854,0.3329952180843356,49999,6539,2667,2298
0.6399999999999997,0.8556980960278361,0.26642771804062126,0.44914400805639476,0.33445819272590926,50398,6140,2735,2230
0.6499999999999997,0.8608360567777181,0.2724164133738602,0.43323262839879156,0.3344996501049685,50793,5745,2814,2151
0.6599999999999997,0.8655512739215974,0.27867095391211144,0.418932527693857,0.3347011022608416,51154,5384,2885,2080
0.6699999999999997,0.8704128253906314,0.2856327578827222,0.40322255790533734,0.33439118089193254,51531,5007,2963,2002
0.6799999999999997,0.8750955237955872,0.2935096519227846,0.3889224572004028,0.33454608454608453,51890,4648,3034,1931
0.6899999999999997,0.8791441067915386,0.299480012999675,0.3711983887210473,0.33150463171148487,52227,4311,3122,1843
0.6999999999999996,0.8829487992455652,0.3062109646079112,0.3554884189325277,0.32901481964768386,52539,3999,3200,1765
0.7099999999999996,0.8864120449408972,0.312418785966215,0.33897280966767374,0.32515455950540956,52834,3704,3282,1683
0.7199999999999996,0.8901679592865389,0.32064128256513025,0.32225579053373615,0.3214465092918132,53148,3390,3365,1600
0.7299999999999996,0.893712501829179,0.3297227036395147,0.3065458207452165,0.317712138607661,53444,3094,3443,1522
0.7399999999999997,0.8970619319382794,0.339066918001885,0.28982880161127894,0.31252036051688564,53733,2805,3526,1439
0.7499999999999997,0.9005089182641497,0.35105833763551886,0.27391742195367574,0.3077271184523136,54024,2514,3605,1360
0.7599999999999997,0.9031266767474757,0.36065113668257087,0.2588116817724068,0.3013602251407129,54260,2278,3680,1285
0.7699999999999997,0.905874510186495,0.37228766274023556,0.2418932527693857,0.2932486875839336,54513,2025,3764,1201
0.7799999999999997,0.90779311578297,0.3796043656207367,0.22416918429003022,0.28187919463087246,54719,1819,3852,1113
0.7899999999999996,0.9097604994878299,0.3892464975388111,0.20704934541792547,0.2703129108598475,54925,1613,3937,1028
0.7999999999999996,0.9118416987789214,0.4025586353944563,0.19013091641490434,0.2582763337893297,55137,1401,4021,944
0.8099999999999996,0.9137928231143196,0.41910705712914065,0.17583081570996978,0.24772985244040863,55328,1210,4092,873
0.8199999999999996,0.9151748695185601,0.4312977099236641,0.15931520644511582,0.2326812766583321,55495,1043,4174,791
0.8299999999999996,0.9164105815976457,0.44554455445544555,0.14501510574018128,0.21881173074000912,55642,896,4245,720
0.8399999999999996,0.9174024031348065,0.4587221823402728,0.12870090634441086,0.2010066058508965,55784,754,4326,639
0.8499999999999996,0.9181503341300424,0.4707874682472481,0.11198388721047331,0.18093068662544745,55913,625,4409,556
0.8599999999999995,0.91901208071151,0.49201596806387227,0.09929506545820745,0.16524216524216523,56029,509,4472,493
0.8699999999999996,0.9193697868396663,0.5036764705882353,0.08277945619335347,0.14218993253762324,56133,405,4554,411
0.8799999999999996,0.9199063460319009,0.5290611028315947,0.07150050352467271,0.12597586941092973,56222,316,4610,355
0.8899999999999996,0.9200364209875941,0.5437616387337058,0.05881168177240685,0.10614322064703745,56293,245,4673,292
0.8999999999999996,0.9203941271157504,0.5873417721518988,0.04672708962739174,0.08656716417910448,56375,163,4733,232
