threshold,accuracy,precision,recall,f1,TN,FP,FN,TP
0.46999999999999986,0.7140302099084598,0.17921219822109274,0.710171198388721,0.2862012987012987,40389,16149,1439,3526
0.47999999999999976,0.7233143098710632,0.18250790305584827,0.6976837865055387,0.2893297139277511,41022,15516,1501,3464
0.48999999999999977,0.7331674877648244,0.1867542419266557,0.6872104733131923,0.29369485689692276,41680,14858,1553,3412
0.4999999999999998,0.7429556281807391,0.19059575439397397,0.6727089627391742,0.29703410556271953,42354,14184,1625,3340
0.5099999999999998,0.7522559875128042,0.19475811244502556,0.6600201409869083,0.30076637143774954,42989,13549,1688,3277
0.5199999999999998,0.7610197876526348,0.19887383206484746,0.6473313192346425,0.3042696203730001,43591,12947,1751,3214
0.5299999999999998,0.7698161065313888,0.20252427184466018,0.6302114803625377,0.30653930933137397,44217,12321,1836,3129
0.5399999999999998,0.7782059411736013,0.2068918918918919,0.6167170191339376,0.3098406273716165,44800,11738,1903,3062
0.5499999999999998,0.7862380696876575,0.21177962519374383,0.6054380664652568,0.31379508325069155,45350,11188,1959,3006
0.5599999999999997,0.793229598556168,0.21583577712609972,0.5929506545820745,0.3164740661112604,45842,10696,2021,2944
0.5699999999999997,0.8007414272474513,0.2210316852900658,0.5816717019133938,0.3203371970495258,46360,10178,2077,2888
0.5799999999999997,0.8079931060273483,0.22527296082209378,0.5651560926485398,0.3221399460421331,46888,9650,2159,2806
0.5899999999999997,0.8153260816545534,0.22995691475880714,0.5482376636455186,0.32400904654207835,47423,9115,2243,2722
0.5999999999999998,0.8221875355673707,0.23483435473843148,0.5325276938569989,0.3259368836291913,47923,8615,2321,2644
0.6099999999999998,0.82867502398257,0.23967482713511493,0.5166163141993958,0.3274398417054956,48401,8137,2400,2565
0.6199999999999998,0.8349511405947677,0.24448167126527395,0.49969788519637465,0.3283266062330444,48871,7667,2484,2481
0.6299999999999997,0.8402842137781897,0.24802904564315353,0.481570996978852,0.32742211571379665,49289,7249,2574,2391
0.6399999999999997,0.8466578866071574,0.2551535087719298,0.4686807653575025,0.3304224352147675,49745,6793,2638,2327
0.6499999999999997,0.8528201876331236,0.2619685497961561,0.4529707955689829,0.33195571955719555,50202,6336,2716,2249
0.6599999999999997,0.8579581483830057,0.2671359762875139,0.43564954682779455,0.3311897106109325,50604,5934,2802,2163
0.6699999999999997,0.8629172560688096,0.272870249017038,0.41933534743202416,0.33060738388249306,50990,5548,2883,2082
0.6799999999999997,0.867762548168382,0.27839955232232794,0.40080563947633435,0.32857260794188065,51380,5158,2975,1990
0.6899999999999997,0.8734858462188836,0.28795180722891567,0.3850956696878147,0.32951314088754846,51810,4728,3053,1912
0.6999999999999996,0.8786400663382274,0.2960665905010609,0.3653575025176234,0.32708258204111074,52225,4313,3151,1814
0.7099999999999996,0.8832739866347983,0.3045550847457627,0.3474320241691843,0.3245836861416878,52599,3939,3240,1725
0.7199999999999996,0.8872087540445182,0.31132797550707997,0.32769385699899295,0.3193013443234226,52939,3599,3338,1627
0.7299999999999996,0.8915987837991642,0.32292967124427796,0.3125881168177241,0.31767475181660015,53284,3254,3413,1552
0.7399999999999997,0.8955498105783458,0.3341668561036599,0.29607250755287007,0.3139683895771038,53609,2929,3495,1470
0.7499999999999997,0.8983301627562883,0.3394014962593516,0.2741188318227593,0.3032869080779944,53889,2649,3604,1361
0.7599999999999997,0.9016470741264654,0.35118066996155956,0.25760322255790535,0.2971999535261996,54175,2363,3686,1279
0.7699999999999997,0.9044762044127929,0.36220472440944884,0.24088620342396777,0.2893431716463046,54432,2106,3769,1196
0.7799999999999997,0.9071264816350422,0.37351845580765325,0.22215508559919436,0.2786057085122506,54688,1850,3862,1103
0.7899999999999996,0.9099556119213696,0.39018781142200076,0.20503524672708962,0.26881436493266436,54947,1591,3947,1018
0.7999999999999996,0.9125571110352341,0.4083444296493564,0.18529707955689828,0.2549182599057911,55205,1333,4045,920
0.8099999999999996,0.9143944197844007,0.422360248447205,0.16435045317220545,0.23662461939973903,55422,1116,4149,816
0.8199999999999996,0.9162154691641058,0.4430992736077482,0.1474320241691843,0.2212482998337615,55618,920,4233,732
0.8299999999999996,0.9171585125928816,0.45350500715307585,0.12769385699899294,0.19927707056419927,55774,764,4331,634
0.8399999999999996,0.9182804090857356,0.4736387208297321,0.11037260825780464,0.1790264619405423,55929,609,4417,548
0.8499999999999996,0.9185242996276605,0.47568710359408034,0.09063444108761329,0.15225850109964473,56042,496,4515,450
0.8599999999999995,0.9194510836869746,0.5073825503355704,0.07613293051359517,0.13239929947460596,56171,367,4587,378
0.8699999999999996,0.9199388647708242,0.5365418894830659,0.060624370594159115,0.10893955845095911,56278,260,4664,301
0.8799999999999996,0.9199226054013625,0.5480769230769231,0.045921450151057405,0.08474261289723099,56350,188,4737,228
0.8899999999999996,0.920133977204364,0.5892255892255892,0.035246727089627394,0.06651463321930824,56416,122,4790,175
0.8999999999999996,0.9200364209875941,0.6243386243386243,0.023766364551863043,0.04578967792006209,56467,71,4847,118
